City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,285.4,35,75,5.66,CL,1730566540
1,papatowai,-46.5619,169.4708,275.54,90,49,3.52,NZ,1730566542
2,gwadar,25.1216,62.3254,300.77,76,0,6.26,PK,1730566337
3,ushuaia,-54.8,-68.3,279.96,61,40,10.8,AR,1730566382
4,port-aux-francais,-49.35,70.2167,276.05,78,17,8.83,TF,1730566545
5,puerto ayora,-0.7393,-90.3518,295.68,80,86,3.58,EC,1730566546
6,coquimbo,-29.9533,-71.3436,292.0,63,0,5.14,CL,1730566515
7,tabou,4.423,-7.3528,300.11,79,33,3.1,CI,1730566548
8,murzuq,25.9155,13.9184,296.24,33,12,3.16,LY,1730566549
9,sitka,57.0531,-135.33,282.09,61,100,7.2,US,1730566551
10,whitehorse,60.7161,-135.0538,271.58,86,75,5.66,CA,1730566552
11,albany,42.6001,-73.9662,282.9,65,71,3.13,US,1730566553
12,edinburgh of the seven seas,-37.0676,-12.3116,284.93,63,85,7.89,SH,1730566555
13,ouardenine,35.7091,10.674,295.78,68,20,4.63,TN,1730566556
14,northam,51.0333,-4.2167,285.71,89,99,3.63,GB,1730566557
15,utrik,11.2278,169.8474,301.14,77,43,1.53,MH,1730566558
16,port mathurin,-19.6833,63.4167,296.98,82,35,6.66,MU,1730566512
17,bethel,41.3712,-73.414,287.56,51,40,2.06,US,1730566560
18,taltal,-25.4,-70.4833,291.19,73,38,3.59,CL,1730566561
19,margaret river,-33.95,115.0667,285.75,66,81,3.03,AU,1730566562
20,udachny,66.4167,112.4,246.45,100,95,1.1,RU,1730566563
21,badger,64.8,-147.5333,264.08,82,0,3.6,US,1730566537
22,fort mcmurray,56.7268,-111.381,270.92,93,100,3.6,CA,1730566565
23,grytviken,-54.2811,-36.5092,280.42,90,96,5.57,GS,1730566567
24,waitangi,-43.9535,-176.5597,284.16,92,79,7.15,NZ,1730566568
25,quellon,-43.1167,-73.6167,283.66,77,100,7.23,CL,1730566569
26,petropavlovsk-kamchatsky,53.0452,158.6483,266.48,58,0,4.0,RU,1730566570
27,adamstown,-25.066,-130.1015,294.12,73,98,6.24,PN,1730566571
28,tura,25.5198,90.2201,294.09,90,0,1.65,IN,1730566572
29,afaahiti,-17.75,-149.2833,296.56,69,10,3.7,PF,1730566573
30,tiksi,71.6872,128.8694,249.87,100,97,1.0,RU,1730566574
31,bonthe,7.5264,-12.505,301.06,78,74,4.57,SL,1730566576
32,flying fish cove,-10.4217,105.6791,298.97,100,100,3.09,CX,1730566577
33,male,4.1748,73.5089,302.12,79,20,2.06,MV,1730566578
34,kailua-kona,19.6406,-155.9956,297.13,90,40,2.57,US,1730566579
35,anadyr,64.75,177.4833,267.43,79,100,6.0,RU,1730566580
36,isafjordur,66.0755,-23.124,272.17,74,0,1.03,IS,1730566581
37,bilibino,68.0546,166.4372,252.68,97,24,2.87,RU,1730566582
38,badagry,6.4167,2.8833,300.85,77,89,4.15,NG,1730566583
39,karoi,-16.8099,29.6925,295.92,58,61,3.31,ZW,1730566584
40,castillos,-34.1667,-53.8333,301.75,61,61,3.22,UY,1730566585
41,talnakh,69.4865,88.3972,259.82,91,51,4.83,RU,1730566587
42,invercargill,-46.4,168.35,275.94,91,79,1.98,NZ,1730566588
43,vorgashor,67.5833,63.95,262.97,95,31,2.59,RU,1730566589
44,ilulissat,69.2167,-51.1,272.16,59,20,6.69,GL,1730566590
45,atafu village,-8.5421,-172.5159,301.17,67,34,4.46,TK,1730566591
46,creswell,43.9179,-123.0245,282.79,97,75,1.86,US,1730566592
47,dudinka,69.4058,86.1778,265.08,84,64,9.24,RU,1730566593
48,paris,48.8534,2.3488,285.43,85,100,5.14,FR,1730566503
49,sal rei,16.1833,-22.9167,302.26,65,0,6.69,CV,1730566595
50,mount gambier,-37.8333,140.7667,286.03,78,84,4.09,AU,1730566596
51,aitape,-3.1374,142.3475,297.77,89,100,1.99,PG,1730566597
52,lihue,21.9789,-159.3672,297.92,78,75,4.12,US,1730566599
53,blackmans bay,-43.0167,147.3167,290.22,56,98,1.79,AU,1730566600
54,orcopampa,-15.2661,-72.3417,289.31,11,5,2.92,PE,1730566602
55,colonia,50.9333,6.95,284.51,88,75,1.54,DE,1730566473
56,lensk,60.7253,114.9278,261.52,97,99,1.54,RU,1730566604
57,nar'yan-mar,67.6713,53.087,267.84,96,48,3.62,RU,1730566606
58,iqaluit,63.7506,-68.5145,267.0,92,75,2.57,CA,1730566608
59,nuku'alofa,-21.1333,-175.2,296.34,94,20,4.12,TO,1730566609
60,hermanus,-34.4187,19.2345,290.82,83,95,5.07,ZA,1730566610
61,jamestown,42.097,-79.2353,282.05,61,100,5.14,US,1730566317
62,zaozersk,69.4005,32.4476,269.89,90,56,8.98,RU,1730566612
63,constantia,44.1833,28.65,285.76,65,55,9.96,RO,1730566613
64,saskatoon,52.1168,-106.6345,276.57,77,75,3.6,CA,1730566421
65,hasaki,35.7333,140.8333,291.76,77,100,12.79,JP,1730566615
66,krasnozavodsk,56.45,38.2167,271.28,74,6,5.74,RU,1730566616
67,st. john's,47.5649,-52.7093,279.42,73,75,7.2,CA,1730566617
68,lupane,-18.9315,27.807,303.27,27,63,1.48,ZW,1730566619
69,opuwo,-18.0607,13.84,302.77,17,55,8.32,NA,1730566620
70,laguna,38.421,-121.4238,287.1,85,40,4.12,US,1730566621
71,ust-nera,64.5667,143.2,251.84,100,100,1.9,RU,1730566622
72,akureyri,65.6835,-18.0878,273.11,69,40,1.03,IS,1730566623
73,carnarvon,-24.8667,113.6333,295.13,81,52,7.55,AU,1730566624
74,puerto deseado,-47.7503,-65.8938,286.07,33,0,4.38,AR,1730566625
75,luanda,-8.8368,13.2343,298.3,85,67,5.24,AO,1730566626
76,stanley,54.868,-1.6985,283.44,92,75,1.54,GB,1730566627
77,sumbawa besar,-8.5,117.4333,297.53,90,99,1.58,ID,1730566628
78,port blair,11.6667,92.75,299.17,100,40,1.03,IN,1730566629
79,muang phonsavan,19.45,103.2167,285.2,87,66,1.31,LA,1730566631
